CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription Duration
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"2,638",12
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"2,456",12
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"2,833",12
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"1,309",12
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,153",12
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"1,317",12
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"2,991",12
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"1,278",12
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"1,296",12
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,168",12
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"2,502",12
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"2,855",12
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,"1,807",12
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,"1,078",12
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,"2,285",12
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,"1,960",12
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,"2,631",12
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,"2,485",12
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,"1,980",12
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,"2,443",12
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"1,728",12
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"1,360",12
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"2,787",12
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"1,143",12
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,996",12
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"2,040",12
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"1,873",12
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"1,312",12
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"2,258",12
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,921",12
